Metabolite,Formula
cdec3eACP_c,C21H37N2O8PRS
cdg_c,C7H5N4O3
cdp_c,C9H12N3O11P2
cdpdddecg_c,C36H63N3O15P2
cdpdhdec9eg_c,C44H75N3O15P2
cdpdhdecg_c,C44H79N3O15P2
cdpdodec11eg_c,C48H83N3O15P2
cdpdodecg_c,C48H87N3O15P2
cdpdtdec7eg_c,C40H67N3O15P2
cdpdtdecg_c,C40H71N3O15P2
cechddd_c,C9H11O4
cenchddd_c,C9H9O4
cgly_c,C5H10N2O3S
chol_c,C5H14NO
chor_c,C10H8O6
chtbs6p_c,C16H27N2O14P
cinnm_c,C9H7O2
cit_c,C6H5O7
citr__L_c,C6H13N3O3
ckdo_c,C17H24N3O15P
cl_c,Cl
cmp_c,C9H12N3O8P
co2_c,CO2
coa_c,C21H32N7O16P3S
cobalt2_c,Co
colipa_c,C176H303N2O100P4
cpe160_c,C39H74N1O8P1
cpe180_c,C43H82N1O8P1
cpg160_c,C40H74O10P1
cpg180_c,C44H82O10P1
cpgn_c,C35H52N6O13Fe
cpgn_un_c,C35H52N6O13
cph4_c,C7H8N5O3
cpmp_c,C10H13N5O8P
cpppg3_c,C36H40N4O8
crn_c,C7H15NO3
crn__D_c,C7H15NO3
crnDcoa_c,C28H46N8O18P3S
crncoa_c,C28H46N8O18P3S
csn_c,C4H5N3O
ctbt_c,C7H13NO2
ctbtcoa_c,C28H44N8O17P3S
ctp_c,C9H12N3O14P3
cu_c,Cu
cu2_c,Cu
cyan_c,CHN
cynt_c,CNO
cys__D_c,C3H7NO2S
cys__L_c,C3H7NO2S
cyst__L_c,C7H14N2O4S
cystrna_c,C3H6NOSR
cytd_c,C9H13N3O5
dad_2_c,C10H13N5O3
dad_5_c,C10H13N5O3
dadp_c,C10H12N5O9P2
damp_c,C10H12N5O6P
dann_c,C9H21N2O2
datp_c,C10H12N5O12P3
db4p_c,C4H7O6P
dc2coa_c,C31H48N7O17P3S
dca_c,C10H19O2
dcaACP_c,C21H39N2O8PRS
dcacoa_c,C31H50N7O17P3S
dcamp_c,C14H14N5O11P
dcdp_c,C9H12N3O10P2
dcmp_c,C9H12N3O7P
dctp_c,C9H12N3O13P3
dcyt_c,C9H13N3O4
dd2coa_c,C33H52N7O17P3S
ddca_c,C12H23O2
ddcaACP_c,C23H43N2O8PRS
ddcacoa_c,C33H54N7O17P3S
ddcap_c,C12H24O5P1
dgdp_c,C10H12N5O10P2
dgmp_c,C10H12N5O7P
dgslnt_c,C20H30N6O12S2Se
dgsn_c,C10H13N5O4
dgtp_c,C10H12N5O13P3
dha_c,C3H6O3
dhap_c,C3H5O6P
dhcinnm_c,C9H7O4
dhf_c,C19H19N7O6
dhgly_c,C2H2NO2
dhmpt_c,C9H13N5O4
dhmptp_c,C9H12N5O13P3
dhna_c,C11H7O4
dhnpt_c,C9H13N5O4
dhor__S_c,C5H5N2O4
dhpmp_c,C9H12N5O7P
dhpppn_c,C9H9O4
dhpt_c,C14H13N6O3
dhptd_c,C5H8O4
dhptdn_c,C6H6N4
didp_c,C10H11N4O10P2
dimp_c,C10H11N4O7P
din_c,C10H12N4O4
ditp_c,C10H11N4O13P3
dmbzid_c,C9H10N2
dmlz_c,C13H18N4O6
dmpp_c,C5H9O7P2
dms_c,C2H6S
dmso_c,C2H6OS
dnad_c,C21H24N6O15P2
dpcoa_c,C21H33N7O13P2S
dsbdox_c,X
dsbdrd_c,XH2
dscl_c,C42H41N4O16
dtbt_c,C10H17N2O3
dtdp_c,C10H13N2O11P2
dtdp4aaddg_c,C18H27N3O15P2
dtdp4addg_c,C16H26N3O14P2
dtdp4d6dg_c,C16H22N2O15P2
dtdp4d6dm_c,C16H22N2O15P2
dtdpglu_c,C16H24N2O16P2
dtdprmn_c,C16H24N2O15P2
dtmp_c,C10H13N2O8P
dttp_c,C10H13N2O14P3
dudp_c,C9H11N2O11P2
dump_c,C9H11N2O8P
duri_c,C9H12N2O5
dutp_c,C9H11N2O14P3
dxyl_c,C5H10O4
dxyl5p_c,C5H9O7P
e4p_c,C4H7O7P
egmeACP_c,C17H27N2O10PRS
eig3p_c,C6H9N2O6P
enter_c,C30H27N3O15
epmeACP_c,C19H31N2O10PRS
etha_c,C2H8NO
